Epochs,learning_rate
0,0.001
1,0.001
2,0.0009999383162408303
3,0.0009997532801828658
4,0.0009994449374809851
5,0.0009990133642141358
6,0.000998458666866564
7,0.00099778098230154
8,0.0009969804777275899
9,0.000996057350657239
10,0.0009950118288582787
11,0.0009938441702975688
12,0.000992554663077387
13,0.0009911436253643444
14,0.0009896114053108828
15,0.0009879583809693736
16,0.0009861849601988382
17,0.0009842915805643154
18,0.000982278709228899
19,0.0009801468428384714
20,0.0009778965073991648
21,0.0009755282581475766
22,0.0009730426794137723
23,0.0009704403844771124
24,0.0009677220154149334
25,0.0009648882429441253
26,0.000961939766255643
27,0.0009588773128419901
28,0.0009557016383177221
29,0.0009524135262330093
30,0.0009490137878803073
31,0.0009455032620941834
32,0.0009418828150443463
33,0.0009381533400219311
34,0.0009343157572190951
35,0.0009303710135019713
36,0.0009263200821770456
37,0.000922163962751007
38,0.0009179036806841347
39,0.0009135402871372803
40,0.0009090748587125112
41,0.0009045084971874732
42,0.0008998423292435448
43,0.0008950775061878446
44,0.0008902152036691643
45,0.000885256621387894
46,0.0008802029828000149
47,0.0008750555348152292
48,0.0008698155474893041
49,0.0008644843137107051
50,0.0008590631488815938
51,0.0008535533905932731
52,0.0009997532801828658
